Year	Month	Day	T_obs	T_mod	P_obs	P_mod	H_obs	H_mod	W_obs	W_mod	SW_obs	SW_mod
2001	1	1	-1.04	0.97	0.50	0.00	31.14	32.22	NaN	2.67	NaN	77.18
2001	1	2	1.81	4.20	0.00	0.41	52.33	79.75	NaN	2.41	NaN	69.72
2001	1	3	-0.69	1.47	5.10	2.39	81.11	83.82	NaN	3.00	NaN	55.23
2001	1	4	-0.51	3.07	0.70	4.32	58.91	67.58	NaN	3.73	NaN	73.89
2001	1	5	2.80	4.65	0.00	0.74	41.82	59.15	NaN	5.14	NaN	74.07
2001	1	6	2.87	5.77	0.40	1.88	70.23	83.48	NaN	2.37	NaN	74.07
2001	1	7	-2.51	0.30	0.60	6.46	96.45	98.35	NaN	1.00	NaN	70.00
2001	1	8	-4.06	-1.51	21.00	26.24	95.00	96.70	NaN	1.22	NaN	68.15
2001	1	9	-6.81	-4.23	5.60	1.70	86.90	75.24	NaN	3.06	NaN	67.78
2001	1	10	-1.45	1.75	0.10	1.23	56.20	60.85	NaN	3.45	NaN	71.53
2001	1	11	0.16	1.91	1.80	4.04	79.26	96.01	NaN	2.24	NaN	70.42
2001	1	12	-2.64	-2.53	0.20	0.27	96.23	95.59	NaN	1.33	NaN	67.08
2001	1	13	-10.04	-7.93	0.00	0.00	88.46	75.35	NaN	2.16	NaN	39.86
2001	1	14	-8.37	-9.18	0.00	0.00	40.17	70.72	NaN	1.85	NaN	46.99
2001	1	15	-6.80	-6.91	0.10	0.00	21.64	49.87	NaN	1.64	NaN	50.69
2001	1	16	-9.20	-5.59	0.00	0.00	62.64	52.54	NaN	1.44	NaN	55.51
2001	1	17	-7.08	-2.26	0.20	0.03	51.75	49.01	NaN	1.65	NaN	58.84
2001	1	18	-3.23	-0.65	0.00	0.00	55.89	70.06	NaN	1.50	NaN	67.64
2001	1	19	-4.55	-0.32	0.00	0.00	50.89	62.19	NaN	1.56	NaN	24.12
2001	1	20	-4.95	-1.46	0.00	0.37	58.93	70.13	NaN	0.63	NaN	75.09
2001	1	21	-5.56	-3.18	0.00	5.91	74.85	93.03	NaN	1.33	NaN	76.44
2001	1	22	-0.45	1.57	0.20	0.02	50.11	63.21	NaN	2.94	NaN	76.94
2001	1	23	1.03	2.92	0.00	0.21	57.01	70.44	NaN	2.87	NaN	76.30
2001	1	24	4.60	5.21	1.50	0.85	56.42	79.13	NaN	3.45	NaN	66.30
2001	1	25	2.57	3.55	3.30	1.89	71.52	88.64	NaN	2.55	NaN	61.34
2001	1	26	-3.02	0.70	2.50	0.47	88.59	74.09	NaN	2.62	NaN	60.83
2001	1	27	-3.01	0.82	3.80	0.30	62.37	58.38	NaN	4.51	NaN	67.78
2001	1	28	-4.85	-1.05	0.10	0.00	47.61	50.56	NaN	1.61	NaN	27.78
2001	1	29	-6.57	-2.42	0.00	0.16	71.30	71.96	NaN	0.58	NaN	59.72
2001	1	30	-8.30	-4.49	3.90	5.01	90.32	93.48	NaN	1.55	NaN	70.65
2001	1	31	-8.98	-6.39	7.50	7.46	88.14	90.14	NaN	1.95	NaN	73.66
2001	2	1	-10.77	-7.08	5.60	9.59	88.26	90.90	NaN	2.10	NaN	74.31
2001	2	2	-11.29	-7.35	6.60	4.49	84.77	88.89	NaN	3.57	NaN	68.89
2001	2	3	-5.61	-1.28	23.80	20.62	91.38	90.73	NaN	3.82	NaN	62.92
2001	2	4	-0.20	1.71	19.40	16.39	84.14	91.74	NaN	4.23	NaN	65.46
2001	2	5	0.63	2.70	0.00	0.00	72.29	73.99	NaN	3.34	NaN	58.98
2001	2	6	5.24	5.03	0.00	0.03	46.58	77.89	NaN	3.25	NaN	59.86
2001	2	7	8.31	8.14	0.00	0.00	31.62	63.22	NaN	5.97	NaN	26.85
2001	2	8	6.60	6.16	0.00	0.00	32.05	61.21	NaN	6.26	NaN	25.14
2001	2	9	-0.42	1.24	9.80	0.33	84.77	91.74	NaN	1.57	NaN	72.96
2001	2	10	-3.06	-0.49	0.60	1.02	91.79	92.36	NaN	1.50	NaN	57.55
2001	2	11	-0.42	2.50	0.10	0.00	51.87	43.42	NaN	2.67	NaN	53.24
2001	2	12	4.65	5.71	0.00	0.00	30.78	44.66	NaN	2.57	NaN	41.85
2001	2	13	2.20	3.71	5.50	1.62	71.67	81.92	NaN	1.93	NaN	89.17
2001	2	14	-2.08	0.01	0.00	0.00	66.91	68.71	NaN	1.77	NaN	88.98
2001	2	15	1.87	3.60	0.00	0.00	45.09	58.84	NaN	1.60	NaN	91.53
2001	2	16	3.53	5.19	0.00	0.00	46.30	48.30	NaN	1.98	NaN	90.60
2001	2	17	-2.70	1.03	1.30	2.14	93.08	89.03	NaN	2.01	NaN	90.00
2001	2	18	-4.08	-0.96	0.00	0.94	90.29	88.07	NaN	2.37	NaN	89.72
2001	2	19	-5.73	-1.66	0.30	0.25	84.05	85.83	NaN	3.31	NaN	91.44
2001	2	20	-6.57	-2.82	16.70	7.49	92.57	90.78	NaN	4.71	NaN	70.19
2001	2	21	-5.86	-1.83	8.60	14.18	85.70	85.73	NaN	5.49	NaN	82.64
2001	2	22	-5.07	-1.49	34.70	10.49	94.66	92.09	NaN	5.83	NaN	68.47
2001	2	23	-6.48	-2.94	27.80	20.66	93.07	93.29	NaN	4.03	NaN	84.81
2001	2	24	-10.67	-8.48	1.30	4.01	83.12	91.81	NaN	1.21	NaN	70.69
2001	2	25	-11.35	-12.04	0.30	0.36	80.42	92.65	NaN	1.29	NaN	91.94
2001	2	26	-11.60	-10.30	1.00	0.00	83.48	82.47	NaN	2.98	NaN	96.11
2001	2	27	-8.60	-5.79	0.00	0.00	52.07	59.51	NaN	2.84	NaN	86.30
2001	2	28	-3.77	-1.85	0.00	0.00	41.86	63.59	NaN	4.16	NaN	105.88
2001	3	1	-6.45	-3.66	0.80	0.30	69.01	68.39	NaN	3.04	NaN	96.11
2001	3	2	-4.88	-2.26	2.00	0.03	64.85	64.82	NaN	2.10	NaN	68.89
2001	3	3	2.65	3.96	1.00	0.87	69.17	90.12	NaN	2.70	NaN	94.12
2001	3	4	0.52	2.77	5.70	12.84	83.23	96.47	NaN	1.68	NaN	85.74
2001	3	5	-3.11	-1.03	4.70	6.28	92.40	97.87	NaN	1.84	NaN	87.78
2001	3	6	-1.79	-0.38	0.10	0.00	62.94	69.04	NaN	1.73	NaN	62.64
2001	3	7	5.91	6.13	0.00	0.00	37.85	60.20	NaN	3.07	NaN	77.41
2001	3	8	8.61	8.59	0.00	0.46	47.73	72.94	NaN	4.65	NaN	116.30
2001	3	9	1.02	3.48	7.30	11.83	92.84	89.31	NaN	2.60	NaN	115.74
2001	3	10	2.50	5.01	0.40	2.59	70.84	72.05	NaN	2.74	NaN	123.01
2001	3	11	3.75	6.37	0.60	2.43	73.53	82.23	NaN	4.05	NaN	79.68
2001	3	12	7.10	9.24	1.00	1.34	59.87	69.92	NaN	4.01	NaN	51.94
2001	3	13	-1.05	2.62	10.20	16.04	84.57	78.98	NaN	3.51	NaN	75.32
2001	3	14	-2.50	0.99	12.60	14.90	86.85	90.00	NaN	3.42	NaN	136.90
2001	3	15	0.44	4.20	11.10	9.33	89.63	87.26	NaN	4.30	NaN	123.84
2001	3	16	6.26	8.31	0.20	0.02	62.71	65.41	NaN	3.73	NaN	101.44
2001	3	17	4.84	8.20	9.50	4.33	61.29	65.87	NaN	3.86	NaN	139.31
2001	3	18	1.83	5.12	2.40	2.19	85.71	82.39	NaN	2.65	NaN	137.82
2001	3	19	-1.23	2.50	5.00	2.05	90.77	74.53	NaN	4.43	NaN	141.53
2001	3	20	-2.33	0.82	2.10	7.38	91.25	72.44	NaN	1.99	NaN	82.55
2001	3	21	3.39	7.49	4.00	16.71	79.50	88.04	NaN	3.89	NaN	144.07
2001	3	22	2.74	6.38	11.90	31.29	81.77	89.39	NaN	4.26	NaN	138.94
2001	3	23	4.31	8.58	20.90	8.96	78.69	79.21	NaN	3.18	NaN	105.14
2001	3	24	6.64	11.67	2.40	1.30	78.13	64.70	NaN	3.36	NaN	112.13
2001	3	25	3.37	7.13	15.70	9.00	81.27	80.10	NaN	3.03	NaN	125.05
2001	3	26	-0.77	1.74	2.50	1.17	92.94	91.33	NaN	2.75	NaN	116.30
