Year	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	NaN	-7.36	NaN	0.00	NaN	40.02	NaN	2.15	NaN	82.45
2001	1	2	NaN	-2.93	NaN	0.03	NaN	88.56	NaN	2.53	NaN	74.21
2001	1	3	NaN	-5.28	NaN	9.67	NaN	96.93	NaN	3.48	NaN	66.34
2001	1	4	NaN	-4.73	NaN	14.27	NaN	82.85	NaN	3.74	NaN	79.63
2001	1	5	NaN	-3.36	NaN	0.12	NaN	76.96	NaN	4.24	NaN	77.59
2001	1	6	NaN	-1.12	NaN	1.62	NaN	96.97	NaN	2.08	NaN	79.54
2001	1	7	NaN	0.81	NaN	3.40	NaN	97.68	NaN	2.25	NaN	75.23
2001	1	8	NaN	-6.11	NaN	21.30	NaN	94.94	NaN	2.58	NaN	73.89
2001	1	9	NaN	-12.17	NaN	6.02	NaN	90.90	NaN	3.58	NaN	75.56
2001	1	10	NaN	-5.65	NaN	3.38	NaN	69.12	NaN	3.89	NaN	76.99
2001	1	11	NaN	-2.74	NaN	12.69	NaN	98.54	NaN	3.12	NaN	75.60
2001	1	12	NaN	-9.43	NaN	0.03	NaN	97.85	NaN	1.47	NaN	72.92
2001	1	13	NaN	-11.96	NaN	0.00	NaN	53.87	NaN	5.09	NaN	54.77
2001	1	14	NaN	-10.43	NaN	0.00	NaN	41.30	NaN	6.21	NaN	60.93
2001	1	15	NaN	-9.74	NaN	0.00	NaN	39.26	NaN	4.83	NaN	48.94
2001	1	16	NaN	-14.25	NaN	0.00	NaN	83.72	NaN	1.53	NaN	56.25
2001	1	17	NaN	-9.97	NaN	0.27	NaN	69.09	NaN	2.08	NaN	57.22
2001	1	18	NaN	-8.91	NaN	0.53	NaN	93.89	NaN	2.61	NaN	71.06
2001	1	19	NaN	-10.09	NaN	0.00	NaN	88.56	NaN	1.38	NaN	42.78
2001	1	20	NaN	-7.68	NaN	2.43	NaN	84.79	NaN	0.88	NaN	80.51
2001	1	21	NaN	-10.38	NaN	6.49	NaN	97.18	NaN	1.43	NaN	81.44
2001	1	22	NaN	-8.19	NaN	0.64	NaN	89.28	NaN	2.56	NaN	81.02
2001	1	23	NaN	-5.42	NaN	1.93	NaN	87.44	NaN	2.57	NaN	79.95
2001	1	24	NaN	-0.05	NaN	2.11	NaN	84.06	NaN	3.06	NaN	70.32
2001	1	25	NaN	-1.33	NaN	2.46	NaN	89.62	NaN	3.62	NaN	44.58
2001	1	26	NaN	-8.56	NaN	3.22	NaN	95.37	NaN	2.32	NaN	67.55
2001	1	27	NaN	-8.65	NaN	1.74	NaN	76.67	NaN	4.25	NaN	69.81
2001	1	28	NaN	-10.95	NaN	0.00	NaN	62.56	NaN	2.03	NaN	43.47
2001	1	29	NaN	-10.40	NaN	0.01	NaN	79.91	NaN	1.83	NaN	64.91
