IchYear	Month	Day	T obs	T mod	P obs	P mod	H obs	H mod	W obs	W mod	SW obs	SW mod
2001	1	1	-4.13	0.45	0.00	0.00	73.08	37.66	NaN	3.50	32.18	77.92
2001	1	2	-1.42	3.21	0.00	0.29	86.39	80.16	NaN	2.09	66.20	72.31
2001	1	3	1.08	0.26	4.20	3.39	94.42	88.41	NaN	1.91	34.49	60.46
2001	1	4	2.18	2.06	1.30	8.58	82.38	74.01	NaN	2.81	35.30	74.72
2001	1	5	3.47	2.56	0.00	0.16	77.13	69.02	NaN	3.59	43.98	75.23
2001	1	6	4.31	4.06	0.00	1.38	81.79	93.51	NaN	1.98	59.03	74.86
2001	1	7	2.35	0.15	3.00	4.08	95.42	98.46	NaN	1.32	24.42	71.53
2001	1	8	0.35	-1.58	21.60	24.33	97.58	95.89	NaN	1.11	2.89	67.82
2001	1	9	-1.49	-4.61	1.40	0.87	95.42	78.03	NaN	2.67	20.83	68.43
2001	1	10	-0.96	0.38	0.00	1.70	78.04	67.05	NaN	2.72	35.07	72.13
2001	1	11	0.59	1.21	1.60	4.83	89.92	98.04	NaN	1.19	27.66	71.25
2001	1	12	0.54	-2.35	0.00	0.04	95.08	92.35	NaN	1.24	16.67	67.50
2001	1	13	-2.90	-6.97	0.00	0.00	83.58	54.98	NaN	1.61	31.94	38.38
2001	1	14	-7.33	-7.79	0.00	0.00	83.92	50.35	NaN	2.17	80.44	47.73
2001	1	15	-9.07	-4.69	0.00	0.00	80.58	40.90	NaN	2.86	79.17	50.88
2001	1	16	-7.34	-5.47	0.00	0.00	74.58	52.08	NaN	1.86	77.55	56.53
2001	1	17	-7.11	-1.82	0.00	0.00	79.71	50.50	NaN	2.60	88.43	55.05
2001	1	18	-4.51	-0.95	0.00	0.00	81.17	70.24	NaN	2.14	79.17	68.66
2001	1	19	-5.22	-1.27	0.00	0.00	86.63	62.58	NaN	1.87	83.22	34.58
2001	1	20	-3.71	-1.56	0.00	0.40	82.83	70.18	NaN	0.99	38.43	76.30
2001	1	21	-3.68	-3.16	0.00	4.60	89.52	90.77	NaN	1.44	31.60	77.73
2001	1	22	-0.13	0.72	0.00	0.15	71.67	63.13	NaN	3.13	46.99	78.10
2001	1	23	0.88	2.20	0.00	1.34	79.00	73.14	NaN	2.78	56.48	77.31
2001	1	24	4.30	4.12	2.00	1.27	73.50	84.11	NaN	2.81	38.19	70.09
2001	1	25	3.01	2.58	2.10	3.94	91.71	90.12	NaN	2.72	72.22	48.10
2001	1	26	1.97	-0.24	0.30	0.73	93.58	78.85	NaN	2.08	30.67	62.64
2001	1	27	1.05	-0.76	2.00	0.12	83.71	63.26	NaN	2.79	43.06	69.54
2001	1	28	-1.21	-2.09	0.00	0.00	82.79	48.76	NaN	2.08	92.48	31.34
2001	1	29	-3.06	-3.00	0.00	0.13	86.67	70.89	NaN	0.97	68.06	61.67
2001	1	30	-1.53	-5.00	2.00	3.03	91.38	92.29	NaN	1.45	26.97	70.74
2001	1	31	-1.74	-6.88	3.20	5.31	91.58	87.73	NaN	1.56	49.54	75.74
2001	2	1	-3.16	-7.76	2.40	3.45	91.17	88.02	NaN	2.10	15.97	73.80
2001	2	2	-4.00	-7.60	5.10	7.10	88.63	87.14	NaN	2.93	8.91	63.52
2001	2	3	-2.67	-1.52	30.80	31.64	95.25	90.24	NaN	2.89	18.63	62.50
2001	2	4	1.58	1.10	24.00	26.52	95.63	92.02	NaN	3.68	64.70	64.26
2001	2	5	2.60	0.35	0.00	0.00	88.71	81.45	NaN	2.38	80.21	62.59
2001	2	6	4.38	3.79	0.00	0.00	76.71	76.51	NaN	2.94	78.47	58.56
2001	2	7	4.87	5.90	0.00	0.00	72.00	67.05	NaN	4.09	64.35	30.97
2001	2	8	8.50	4.51	0.00	0.00	52.00	69.21	NaN	5.01	0.00	23.75
2001	2	9	2.25	0.51	10.60	0.49	92.25	93.07	NaN	0.97	25.58	79.31
