Year,Month,Day,T obs,T mod,P obs,P mod,H obs,H mod,W obs,W mod,SW obs,SW mod
2001,1,1,NaN,0.97,NaN,0.00,NaN,32.22,4.95,2.67,NaN,77.18
2001,1,2,NaN,4.20,NaN,0.41,NaN,79.75,3.01,2.41,NaN,69.72
2001,1,3,NaN,1.47,NaN,2.39,NaN,83.82,3.15,3.00,NaN,55.23
2001,1,4,NaN,3.07,NaN,4.32,NaN,67.58,5.13,3.73,NaN,73.89
2001,1,5,NaN,4.65,NaN,0.74,NaN,59.15,6.84,5.14,NaN,74.07
2001,1,6,NaN,5.77,NaN,1.88,NaN,83.48,3.04,2.37,NaN,74.07
2001,1,7,NaN,0.30,NaN,6.46,NaN,98.35,0.02,1.00,NaN,70.00
2001,1,8,NaN,-1.51,NaN,26.24,NaN,96.70,0.00,1.22,NaN,68.15
2001,1,9,NaN,-4.23,NaN,1.70,NaN,75.24,0.38,3.06,NaN,67.78
2001,1,10,NaN,1.75,NaN,1.23,NaN,60.85,5.01,3.45,NaN,71.53
2001,1,11,NaN,1.91,NaN,4.04,NaN,96.01,4.20,2.24,NaN,70.42
2001,1,12,NaN,-2.53,NaN,0.27,NaN,95.59,0.28,1.33,NaN,67.08
2001,1,13,NaN,-7.93,NaN,0.00,NaN,75.35,4.98,2.16,NaN,39.86
2001,1,14,NaN,-9.18,NaN,0.00,NaN,70.72,8.75,1.85,NaN,46.99
2001,1,15,NaN,-6.91,NaN,0.00,NaN,49.87,6.34,1.64,NaN,50.69
2001,1,16,NaN,-5.59,NaN,0.00,NaN,52.54,2.06,1.44,NaN,55.51
2001,1,17,NaN,-2.26,NaN,0.03,NaN,49.01,1.70,1.65,NaN,58.84
2001,1,18,NaN,-0.65,NaN,0.00,NaN,70.06,2.61,1.50,NaN,67.64
2001,1,19,NaN,-0.32,NaN,0.00,NaN,62.19,1.35,1.56,NaN,24.12
2001,1,20,NaN,-1.46,NaN,0.37,NaN,70.13,1.80,0.63,NaN,75.09
2001,1,21,NaN,-3.18,NaN,5.91,NaN,93.03,2.80,1.33,NaN,76.44
2001,1,22,NaN,1.57,NaN,0.02,NaN,63.21,4.42,2.94,NaN,76.94
2001,1,23,NaN,2.92,NaN,0.21,NaN,70.44,4.12,2.87,NaN,76.30
2001,1,24,NaN,5.21,NaN,0.85,NaN,79.13,4.45,3.45,NaN,66.30
2001,1,25,NaN,3.55,NaN,1.89,NaN,88.64,4.00,2.55,NaN,61.34
2001,1,26,NaN,0.70,NaN,0.47,NaN,74.09,3.43,2.62,NaN,60.83
2001,1,27,NaN,0.82,NaN,0.30,NaN,58.38,5.72,4.51,NaN,67.78
2001,1,28,NaN,-1.05,NaN,0.00,NaN,50.56,2.80,1.61,NaN,27.78
2001,1,29,NaN,-2.42,NaN,0.16,NaN,71.96,2.68,0.58,NaN,59.72
2001,1,30,NaN,-4.49,NaN,5.01,NaN,93.48,1.98,1.55,NaN,70.65
2001,1,31,NaN,-6.39,NaN,7.46,NaN,90.14,1.04,1.95,NaN,73.66
2001,2,1,NaN,-7.08,NaN,9.59,NaN,90.90,3.36,2.10,NaN,74.31
2001,2,2,NaN,-7.35,NaN,4.49,NaN,88.89,4.34,3.57,NaN,68.89
2001,2,3,NaN,-1.28,NaN,20.62,NaN,90.73,8.62,3.82,NaN,62.92
2001,2,4,NaN,1.71,NaN,16.39,NaN,91.74,9.02,4.23,NaN,65.46
2001,2,5,NaN,2.70,NaN,0.00,NaN,73.99,3.92,3.34,NaN,58.98
2001,2,6,NaN,5.03,NaN,0.03,NaN,77.89,4.13,3.25,NaN,59.86
2001,2,7,NaN,8.14,NaN,0.00,NaN,63.22,5.38,5.97,NaN,26.85
2001,2,8,NaN,6.16,NaN,0.00,NaN,61.21,8.40,6.26,NaN,25.14
2001,2,9,NaN,1.24,NaN,0.33,NaN,91.74,2.84,1.57,NaN,72.96
2001,2,10,NaN,-0.49,NaN,1.02,NaN,92.36,1.42,1.50,NaN,57.55
2001,2,11,NaN,2.50,NaN,0.00,NaN,43.42,3.83,2.67,NaN,53.24
2001,2,12,NaN,5.71,NaN,0.00,NaN,44.66,3.84,2.57,NaN,41.85
2001,2,13,NaN,3.71,NaN,1.62,NaN,81.92,2.35,1.93,NaN,89.17
2001,2,14,NaN,0.01,NaN,0.00,NaN,68.71,4.77,1.77,NaN,88.98
2001,2,15,NaN,3.60,NaN,0.00,NaN,58.84,4.70,1.60,NaN,91.53
2001,2,16,NaN,5.19,NaN,0.00,NaN,48.30,2.07,1.98,NaN,90.60
2001,2,17,NaN,1.03,NaN,2.14,NaN,89.03,2.01,2.01,NaN,90.00
2001,2,18,NaN,-0.96,NaN,0.94,NaN,88.07,1.57,2.37,NaN,89.72
2001,2,19,NaN,-1.66,NaN,0.25,NaN,85.83,2.96,3.31,NaN,91.44
2001,2,20,NaN,-2.82,NaN,7.49,NaN,90.78,5.95,4.71,NaN,70.19
2001,2,21,NaN,-1.83,NaN,14.18,NaN,85.73,7.75,5.49,NaN,82.64
2001,2,22,NaN,-1.49,NaN,10.49,NaN,92.09,7.41,5.83,NaN,68.47
2001,2,23,NaN,-2.94,NaN,20.66,NaN,93.29,6.02,4.03,NaN,84.81
2001,2,24,NaN,-8.48,NaN,4.01,NaN,91.81,0.58,1.21,NaN,70.69
2001,2,25,NaN,-12.04,NaN,0.36,NaN,92.65,0.00,1.29,NaN,91.94
2001,2,26,NaN,-10.30,NaN,0.00,NaN,82.47,0.00,2.98,NaN,96.11
2001,2,27,NaN,-5.79,NaN,0.00,NaN,59.51,1.65,2.84,NaN,86.30
2001,2,28,NaN,-1.85,NaN,0.00,NaN,63.59,5.32,4.16,NaN,105.88
2001,3,1,NaN,-3.66,NaN,0.30,NaN,68.39,3.14,3.04,NaN,96.11
2001,3,2,NaN,-2.26,NaN,0.03,NaN,64.82,3.58,2.10,NaN,68.89
2001,3,3,NaN,3.96,NaN,0.87,NaN,90.12,5.23,2.70,NaN,94.12
2001,3,4,NaN,2.77,NaN,12.84,NaN,96.47,4.21,1.68,NaN,85.74
2001,3,5,NaN,-1.03,NaN,6.28,NaN,97.87,2.09,1.84,NaN,87.78
2001,3,6,NaN,-0.38,NaN,0.00,NaN,69.04,2.69,1.73,NaN,62.64
2001,3,7,NaN,6.13,NaN,0.00,NaN,60.20,4.02,3.07,NaN,77.41
2001,3,8,NaN,8.59,NaN,0.46,NaN,72.94,4.11,4.65,NaN,116.30
2001,3,9,NaN,3.48,NaN,11.83,NaN,89.31,3.30,2.60,NaN,115.74
2001,3,10,NaN,5.01,NaN,2.59,NaN,72.05,3.88,2.74,NaN,123.01
2001,3,11,NaN,6.37,NaN,2.43,NaN,82.23,5.96,4.05,NaN,79.68
2001,3,12,NaN,9.24,NaN,1.34,NaN,69.92,5.72,4.01,NaN,51.94
2001,3,13,NaN,2.62,NaN,16.04,NaN,78.98,4.99,3.51,NaN,75.32
2001,3,14,NaN,0.99,NaN,14.90,NaN,90.00,4.97,3.42,NaN,136.90
2001,3,15,NaN,4.20,NaN,9.33,NaN,87.26,8.46,4.30,NaN,123.84
2001,3,16,NaN,8.31,NaN,0.02,NaN,65.41,4.77,3.73,NaN,101.44
2001,3,17,NaN,8.20,NaN,4.33,NaN,65.87,3.19,3.86,NaN,139.31
2001,3,18,NaN,5.12,NaN,2.19,NaN,82.39,3.31,2.65,NaN,137.82
2001,3,19,NaN,2.50,NaN,2.05,NaN,74.53,4.61,4.43,NaN,141.53
2001,3,20,NaN,0.82,NaN,7.38,NaN,72.44,3.99,1.99,NaN,82.55
2001,3,21,NaN,7.49,NaN,16.71,NaN,88.04,8.91,3.89,NaN,144.07
2001,3,22,NaN,6.38,NaN,31.29,NaN,89.39,7.52,4.26,NaN,138.94
2001,3,23,NaN,8.58,NaN,8.96,NaN,79.21,6.09,3.18,NaN,105.14
2001,3,24,NaN,11.67,NaN,1.30,NaN,64.70,4.72,3.36,NaN,112.13
2001,3,25,NaN,7.13,NaN,9.00,NaN,80.10,3.98,3.03,NaN,125.05
2001,3,26,NaN,1.74,NaN,1.17,NaN,91.33,2.89,2.75,NaN,116.30
2001,3,27,NaN,1.61,NaN,0.00,NaN,84.59,2.93,1.46,NaN,159.12
2001,3,28,NaN,5.79,NaN,0.67,NaN,58.85,4.62,2.42,NaN,168.52
2001,3,29,NaN,7.84,NaN,3.18,NaN,56.95,4.07,2.80,NaN,172.82
2001,3,30,NaN,2.27,NaN,17.31,NaN,96.83,2.33,1.62,NaN,177.78
2001,3,31,NaN,3.16,NaN,1.00,NaN,86.87,1.66,1.46,NaN,107.36
2001,4,1,NaN,5.89,NaN,0.00,NaN,71.68,1.93,1.25,NaN,167.92
2001,4,2,NaN,10.10,NaN,0.00,NaN,45.64,2.08,1.18,NaN,170.00
2001,4,3,NaN,9.83,NaN,0.59,NaN,66.40,3.23,1.88,NaN,159.44
2001,4,4,NaN,9.83,NaN,3.86,NaN,64.14,3.23,2.88,NaN,103.75
2001,4,5,NaN,1.99,NaN,10.83,NaN,81.93,3.58,2.73,NaN,113.84
2001,4,6,NaN,4.87,NaN,3.53,NaN,77.03,5.32,3.50,NaN,195.42
2001,4,7,NaN,5.81,NaN,20.67,NaN,85.23,2.65,2.46,NaN,165.19
2001,4,8,NaN,1.68,NaN,31.36,NaN,97.21,3.64,2.52,NaN,160.79
2001,4,9,NaN,2.43,NaN,5.83,NaN,90.48,4.39,2.86,NaN,71.34
2001,4,10,NaN,4.39,NaN,6.91,NaN,85.99,4.29,3.11,NaN,167.31
2001,4,11,NaN,3.57,NaN,41.02,NaN,96.53,3.30,2.17,NaN,154.03
2001,4,12,NaN,2.00,NaN,16.48,NaN,94.33,4.20,2.89,NaN,193.43
2001,4,13,NaN,-2.85,NaN,5.35,NaN,82.10,4.80,3.32,NaN,104.35
2001,4,14,NaN,-3.92,NaN,10.25,NaN,86.89,2.95,2.62,NaN,135.51
2001,4,15,NaN,-0.49,NaN,9.87,NaN,85.22,7.40,4.81,NaN,187.08
2001,4,16,NaN,0.95,NaN,10.13,NaN,92.76,3.30,2.77,NaN,210.00
2001,4,17,NaN,0.17,NaN,7.13,NaN,92.42,2.67,2.41,NaN,161.57
2001,4,18,NaN,2.36,NaN,1.66,NaN,73.75,3.49,2.28,NaN,190.79
2001,4,19,NaN,1.16,NaN,12.23,NaN,86.17,2.95,1.85,NaN,220.32
2001,4,20,NaN,-0.71,NaN,22.29,NaN,96.71,3.03,1.38,NaN,203.98
2001,4,21,NaN,-1.48,NaN,5.23,NaN,96.09,1.86,1.53,NaN,71.06
2001,4,22,NaN,-0.26,NaN,2.33,NaN,91.97,3.60,2.95,NaN,108.38
2001,4,23,NaN,1.99,NaN,0.14,NaN,78.87,2.79,1.92,NaN,163.38
2001,4,24,NaN,5.70,NaN,0.08,NaN,70.80,3.32,2.58,NaN,205.65
