Year,Month,Day,T obs,T mod,P obs,P mod,H obs,H mod,W obs,W mod,SW obs,SW mod
2001,1,1,1.61,0.97,NaN,0.00,19.35,32.22,NaN,2.67,64.53,77.18
2001,1,2,3.69,4.20,NaN,0.41,50.99,79.75,NaN,2.41,70.18,69.72
2001,1,3,-0.40,1.47,NaN,2.39,92.04,83.82,NaN,3.00,37.65,55.23
2001,1,4,0.49,3.07,NaN,4.32,58.85,67.58,NaN,3.73,39.83,73.89
2001,1,5,3.53,4.65,NaN,0.74,46.55,59.15,NaN,5.14,44.98,74.07
2001,1,6,3.38,5.77,NaN,1.88,74.79,83.48,NaN,2.37,53.54,74.07
2001,1,7,-2.20,0.30,NaN,6.46,98.40,98.35,NaN,1.00,36.73,70.00
2001,1,8,-3.88,-1.51,NaN,26.24,98.33,96.70,NaN,1.22,17.47,68.15
2001,1,9,-6.22,-4.23,NaN,1.70,93.38,75.24,NaN,3.06,35.05,67.78
2001,1,10,-0.35,1.75,NaN,1.23,55.44,60.85,NaN,3.45,37.25,71.53
2001,1,11,0.51,1.91,NaN,4.04,87.65,96.01,NaN,2.24,36.73,70.42
2001,1,12,-2.29,-2.53,NaN,0.27,98.40,95.59,NaN,1.33,37.13,67.08
2001,1,13,-8.69,-7.93,NaN,0.00,95.40,75.35,NaN,2.16,54.13,39.86
2001,1,14,-7.08,-9.18,NaN,0.00,37.98,70.72,NaN,1.85,83.86,46.99
2001,1,15,-5.02,-6.91,NaN,0.00,19.19,49.87,NaN,1.64,85.14,50.69
2001,1,16,-6.55,-5.59,NaN,0.00,65.17,52.54,NaN,1.44,75.49,55.51
2001,1,17,-4.09,-2.26,NaN,0.03,44.96,49.01,NaN,1.65,83.16,58.84
2001,1,18,-1.41,-0.65,NaN,0.00,56.48,70.06,NaN,1.50,81.42,67.64
2001,1,19,-1.96,-0.32,NaN,0.00,46.28,62.19,NaN,1.56,83.28,24.12
2001,1,20,-3.12,-1.46,NaN,0.37,57.86,70.13,NaN,0.63,51.65,75.09
2001,1,21,-4.53,-3.18,NaN,5.91,83.14,93.03,NaN,1.33,41.32,76.44
2001,1,22,0.84,1.57,NaN,0.02,52.46,63.21,NaN,2.94,52.04,76.94
2001,1,23,2.22,2.92,NaN,0.21,61.86,70.44,NaN,2.87,57.10,76.30
2001,1,24,5.54,5.21,NaN,0.85,59.64,79.13,NaN,3.45,41.11,66.30
2001,1,25,2.88,3.55,NaN,1.89,80.27,88.64,NaN,2.55,74.32,61.34
2001,1,26,-2.81,0.70,NaN,0.47,97.46,74.09,NaN,2.62,33.24,60.83
2001,1,27,-2.43,0.82,NaN,0.30,70.98,58.38,NaN,4.51,43.58,67.78
2001,1,28,-2.73,-1.05,NaN,0.00,45.60,50.56,NaN,1.61,91.44,27.78
2001,1,29,-4.18,-2.42,NaN,0.16,74.98,71.96,NaN,0.58,75.76,59.72
2001,1,30,-7.94,-4.49,NaN,5.01,98.08,93.48,NaN,1.55,43.70,70.65
2001,1,31,-9.02,-6.39,NaN,7.46,98.07,90.14,NaN,1.95,51.61,73.66
2001,2,1,-10.71,-7.08,NaN,9.59,97.97,90.90,NaN,2.10,34.44,74.31
2001,2,2,-11.18,-7.35,NaN,4.49,97.97,88.89,NaN,3.57,52.96,68.89
2001,2,3,-5.54,-1.28,NaN,20.62,98.22,90.73,NaN,3.82,31.48,62.92
2001,2,4,-0.39,1.71,NaN,16.39,98.48,91.74,NaN,4.23,63.99,65.46
2001,2,5,1.02,2.70,NaN,0.00,86.13,73.99,NaN,3.34,66.35,58.98
2001,2,6,6.59,5.03,NaN,0.03,46.48,77.89,NaN,3.25,83.37,59.86
2001,2,7,10.20,8.14,NaN,0.00,27.05,63.22,NaN,5.97,72.67,26.85
2001,2,8,6.92,6.16,NaN,0.00,35.09,61.21,NaN,6.26,99.81,25.14
2001,2,9,0.01,1.24,NaN,0.33,88.35,91.74,NaN,1.57,26.88,72.96
2001,2,10,-2.53,-0.49,NaN,1.02,98.26,92.36,NaN,1.50,61.74,57.55
2001,2,11,1.65,2.50,NaN,0.00,49.82,43.42,NaN,2.67,127.13,53.24
2001,2,12,7.22,5.71,NaN,0.00,23.01,44.66,NaN,2.57,111.08,41.85
2001,2,13,2.54,3.71,NaN,1.62,79.15,81.92,NaN,1.93,55.61,89.17
2001,2,14,-0.96,0.01,NaN,0.00,64.18,68.71,NaN,1.77,142.53,88.98
2001,2,15,3.85,3.60,NaN,0.00,41.74,58.84,NaN,1.60,133.54,91.53
2001,2,16,5.89,5.19,NaN,0.00,40.36,48.30,NaN,1.98,136.26,90.60
2001,2,17,-2.33,1.03,NaN,2.14,97.48,89.03,NaN,2.01,44.24,90.00
2001,2,18,-3.97,-0.96,NaN,0.94,96.48,88.07,NaN,2.37,76.97,89.72
2001,2,19,-5.76,-1.66,NaN,0.25,94.82,85.83,NaN,3.31,92.06,91.44
2001,2,20,-6.46,-2.82,NaN,7.49,98.05,90.78,NaN,4.71,20.87,70.19
2001,2,21,-6.13,-1.83,NaN,14.18,98.09,85.73,NaN,5.49,72.42,82.64
2001,2,22,-4.94,-1.49,NaN,10.49,98.14,92.09,NaN,5.83,26.62,68.47
2001,2,23,-6.39,-2.94,NaN,20.66,98.08,93.29,NaN,4.03,31.29,84.81
2001,2,24,-10.21,-8.48,NaN,4.01,97.99,91.81,NaN,1.21,101.84,70.69
2001,2,25,-10.66,-12.04,NaN,0.36,97.99,92.65,NaN,1.29,104.44,91.94
2001,2,26,-11.48,-10.30,NaN,0.00,97.92,82.47,NaN,2.98,88.97,96.11
2001,2,27,-8.01,-5.79,NaN,0.00,67.97,59.51,NaN,2.84,170.60,86.30
2001,2,28,-2.97,-1.85,NaN,0.00,44.06,63.59,NaN,4.16,137.51,105.88
2001,3,1,-5.35,-3.66,NaN,0.30,77.62,68.39,NaN,3.04,84.67,96.11
2001,3,2,-4.52,-2.26,NaN,0.03,73.50,64.82,NaN,2.10,154.62,68.89
2001,3,3,2.90,3.96,NaN,0.87,76.99,90.12,NaN,2.70,71.20,94.12
2001,3,4,0.72,2.77,NaN,12.84,90.05,96.47,NaN,1.68,45.79,85.74
2001,3,5,-3.07,-1.03,NaN,6.28,98.33,97.87,NaN,1.84,62.35,87.78
2001,3,6,-0.19,-0.38,NaN,0.00,67.00,69.04,NaN,1.73,189.41,62.64
2001,3,7,7.03,6.13,NaN,0.00,38.88,60.20,NaN,3.07,144.99,77.41
2001,3,8,9.80,8.59,NaN,0.46,48.38,72.94,NaN,4.65,125.10,116.30
2001,3,9,1.22,3.48,NaN,11.83,98.03,89.31,NaN,2.60,57.60,115.74
2001,3,10,2.64,5.01,NaN,2.59,83.71,72.05,NaN,2.74,143.15,123.01
2001,3,11,3.77,6.37,NaN,2.43,88.07,82.23,NaN,4.05,96.81,79.68
2001,3,12,7.60,9.24,NaN,1.34,69.94,69.92,NaN,4.01,168.15,51.94
2001,3,13,-0.84,2.62,NaN,16.04,91.99,78.98,NaN,3.51,66.47,75.32
2001,3,14,-2.57,0.99,NaN,14.90,95.15,90.00,NaN,3.42,64.11,136.90
2001,3,15,0.50,4.20,NaN,9.33,96.57,87.26,NaN,4.30,94.54,123.84
2001,3,16,6.88,8.31,NaN,0.02,70.61,65.41,NaN,3.73,197.92,101.44
2001,3,17,5.63,8.20,NaN,4.33,65.93,65.87,NaN,3.86,114.42,139.31
2001,3,18,1.76,5.12,NaN,2.19,96.33,82.39,NaN,2.65,131.58,137.82
2001,3,19,-1.10,2.50,NaN,2.05,97.84,74.53,NaN,4.43,38.45,141.53
2001,3,20,-2.36,0.82,NaN,7.38,98.30,72.44,NaN,1.99,69.92,82.55
2001,3,21,3.40,7.49,NaN,16.71,91.74,88.04,NaN,3.89,66.96,144.07
2001,3,22,2.67,6.38,NaN,31.29,92.66,89.39,NaN,4.26,115.46,138.94
2001,3,23,4.30,8.58,NaN,8.96,86.53,79.21,NaN,3.18,84.23,105.14
2001,3,24,7.04,11.67,NaN,1.30,88.66,64.70,NaN,3.36,156.55,112.13
2001,3,25,3.77,7.13,NaN,9.00,88.48,80.10,NaN,3.03,38.93,125.05
2001,3,26,-0.75,1.74,NaN,1.17,98.38,91.33,NaN,2.75,68.29,116.30
2001,3,27,-1.05,1.61,NaN,0.00,93.52,84.59,NaN,1.46,187.25,159.12
2001,3,28,2.35,5.79,NaN,0.67,74.52,58.85,NaN,2.42,202.24,168.52
2001,3,29,5.23,7.84,NaN,3.18,58.05,56.95,NaN,2.80,223.83,172.82
2001,3,30,-1.12,2.27,NaN,17.31,98.38,96.83,NaN,1.62,85.92,177.78
2001,3,31,-0.28,3.16,NaN,1.00,98.32,86.87,NaN,1.46,110.75,107.36
2001,4,1,3.29,5.89,NaN,0.00,75.68,71.68,NaN,1.25,250.31,167.92
2001,4,2,7.69,10.10,NaN,0.00,45.00,45.64,NaN,1.18,246.97,170.00
